time,queen,threads,solutions,seconds,microseconds,cpu_temp,gpu_temp
1525796776, 12, 4, 14200, 59, 80795, 53.15, 53.20
1525796833, 12, 4, 14200, 57, 796928, 58.53, 59.10
1525796891, 12, 4, 14200, 57, 686863, 62.84, 62.80
1525796949, 12, 4, 14200, 57, 496290, 65.53, 65.50
1525797009, 12, 4, 14200, 59, 752636, 65.53, 65.50
1525797069, 12, 4, 14200, 60, 37458, 67.68, 67.70
1525797131, 12, 4, 14200, 61, 872390, 67.68, 68.80
1525797194, 12, 4, 14200, 63, 802974, 67.68, 68.20
1525797259, 12, 4, 14200, 64, 746352, 67.68, 68.20
1525797325, 12, 4, 14200, 65, 271060, 68.76, 68.80
1525797390, 12, 4, 14200, 65, 610247, 68.76, 68.80
1525797456, 12, 4, 14200, 65, 509715, 69.29, 69.30
1525797522, 12, 4, 14200, 66, 123448, 69.29, 69.80
1525797590, 12, 4, 14200, 67, 624968, 69.29, 68.80
1525797657, 12, 4, 14200, 66, 714842, 68.76, 69.30
1525797724, 12, 4, 14200, 67, 241946, 68.76, 68.80
1525797791, 12, 4, 14200, 67, 340261, 68.76, 69.80
1525797859, 12, 4, 14200, 67, 344021, 69.83, 69.80
1525797927, 12, 4, 14200, 67, 616401, 69.83, 69.80
1525797994, 12, 4, 14200, 67, 214041, 69.83, 69.80
1525798062, 12, 4, 14200, 67, 724207, 69.83, 69.30
1525798128, 12, 4, 14200, 66, 595700, 69.83, 69.80
1525798196, 12, 4, 14200, 67, 731325, 68.76, 69.30
1525798264, 12, 4, 14200, 67, 815560, 68.76, 69.30
1525798332, 12, 4, 14200, 67, 937577, 68.76, 68.80
1525798399, 12, 4, 14200, 67, 269054, 68.76, 68.80
1525798467, 12, 4, 14200, 67, 362627, 68.76, 68.80
1525798533, 12, 4, 14200, 65, 992238, 69.29, 69.80
1525798600, 12, 4, 14200, 67, 187555, 68.22, 68.80
1525798667, 12, 4, 14200, 66, 688334, 68.76, 69.30
1525798733, 12, 4, 14200, 66, 333920, 69.29, 69.30
1525798799, 12, 4, 14200, 65, 893808, 69.83, 69.30
